country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,inflation_log,development_index,trade_balance,health_impact_ratio,segment
Benin,4.718498871295094,23.8,4.1,37.2,7.507141079727608,0.885,61.8,5.36,6.63200177739563,1.9593903106120059,1.163878195559088,-13.400000000000002,0.868920415546198,low gdp trap
Bhutan,3.7773481021015445,42.5,5.2,70.7,8.76732914779405,5.99,72.1,2.38,7.687538766201629,2.501435951739211,2.5991827259013296,-28.200000000000003,1.3766271626136222,low gdp trap
Bolivia,3.8628327612373745,41.2,4.84,34.3,8.596189197642735,8.78,71.6,3.2,7.591357046698551,2.7073833121145063,2.422292945271777,6.900000000000006,1.2529664883678813,low gdp trap
Bosnia and Herzegovina,2.066862759472976,29.7,11.1,51.3,9.18204377282107,1.4,76.8,1.31,8.436200032206706,2.0294631718735943,9.770341579887395,-21.599999999999998,5.370458173444646,low gdp trap
Botswana,3.979681653901961,43.6,8.3,51.3,9.495594499353297,8.92,57.1,2.88,8.756367559802975,2.7166795278002644,2.428024215465667,-7.699999999999996,2.085593954949159,low gdp trap
Brazil,3.0349529867072724,10.7,9.01,11.8,9.581972891547895,8.41,74.2,1.8,9.32375833901174,2.6823904543216326,4.769156837860655,-1.1000000000000014,2.96874450426834,low gdp trap
Brunei,2.4423470353692043,67.4,2.84,28.0,11.297266335365645,16.7,77.1,1.84,10.471666571132038,3.1315734964654043,9.185997267370796,39.400000000000006,1.1628159139025398,high inflation risk
Bulgaria,2.468099531471619,50.2,6.87,53.0,9.635673464721814,1.11,73.9,1.57,8.830689198760998,1.9906103279732201,6.784769697940248,-2.799999999999997,2.7835182140745034,low gdp trap
Burkina Faso,4.762173934797756,19.2,6.74,29.6,7.266128779556451,6.81,57.9,5.87,6.3561076606958915,2.5664866367804233,0.9540703742508332,-10.400000000000002,1.4153199971865873,low gdp trap
Burundi,4.549657476057832,8.92,11.6,39.2,6.639875833826536,12.3,57.7,6.26,5.44673737166631,2.9183111265854063,0.6802320194355183,-30.28,2.5496424865045264,low gdp trap
Cambodia,3.8155121050473024,54.1,5.68,59.5,7.83241092718792,3.12,66.1,2.88,6.668228248417403,2.2332350148592526,1.8218489145870358,-5.399999999999999,1.4886599343994436,low gdp trap
Cameroon,4.6913478822291435,22.2,5.13,27.0,7.886457270977689,1.91,57.3,5.11,7.1785454837637,2.0943301541735866,1.2587508484655279,-4.800000000000001,1.093502364092945,low gdp trap
Canada,1.8870696490323797,29.1,11.3,31.0,10.614007941153417,2.87,81.3,1.63,10.766398604507042,2.206074192613202,17.619066102885228,-1.8999999999999986,5.9881202613768005,low gdp trap
Cape Verde,3.3141860046725258,32.7,4.09,61.8,8.670943791222156,0.505,72.5,2.67,8.105005537547246,1.904343829975201,3.307213818482326,-29.099999999999994,1.234088851450609,low gdp trap
Central African Republic,5.0106352940962555,11.8,3.98,26.5,6.790097235513905,2.01,47.5,5.21,6.102558594613569,2.1065702090680887,0.5246018185750665,-14.7,0.7943104549415931,low gdp trap
Chad,5.017279836814924,36.8,4.53,43.5,7.565793282428515,6.39,56.5,6.59,6.8001700683022,2.533696813957432,0.9990482693286121,-6.700000000000003,0.9028796773025402,low gdp trap
Chile,2.272125885509337,37.7,7.96,31.3,9.873079890114703,8.96,79.1,1.88,9.465060106725137,2.719319793360441,9.154303768245185,6.400000000000002,3.503327016678755,low gdp trap
China,2.8154087194227095,26.3,5.07,22.6,9.162304922937626,6.94,74.6,1.59,8.4252971767117,2.5764217586237734,4.874811970766062,3.6999999999999993,1.8008042544670344,low gdp trap
Colombia,2.975529566236472,15.9,7.59,17.8,9.296609807128359,3.86,76.4,2.01,8.740496729931813,2.309560706730471,4.683297732280471,-1.9000000000000004,2.550806446732785,low gdp trap
Comoros,4.490881039585964,16.5,4.51,51.7,7.252053951852814,3.87,65.9,4.75,6.646390514847729,2.3105532626432224,1.2910669254719014,-35.2,1.004257284983839,low gdp trap
"Congo, Dem. Rep.",4.762173934797756,41.1,7.91,49.6,6.413458957167357,20.8,57.5,6.54,5.814130531825066,3.2962071678045244,0.6545698849739658,-8.5,1.6610061094578497,high inflation risk
"Congo, Rep.",4.1728476237100445,85.1,2.46,54.7,8.55468163582723,20.7,60.4,4.95,7.916078096302786,3.2924979647388146,1.916005563658243,30.39999999999999,0.5895254803991223,high inflation risk
Costa Rica,2.4159137783010487,33.2,10.9,35.0,9.472781556562168,6.57,80.4,1.92,9.012011377036412,2.5478814489493886,7.552089537546011,-1.7999999999999972,4.51175041837182,low gdp trap
Cote d'Ivoire,4.718498871295094,50.6,5.3,43.3,7.897668150726906,5.39,56.3,5.27,7.107425474110705,2.451005098112319,1.2142530327173087,7.300000000000004,1.1232385859499634,low gdp trap
Croatia,1.8718021769015913,37.6,7.76,38.1,9.908524844053396,0.821,76.3,1.55,9.510519035757246,1.9503289432170243,15.073729467968578,-0.5,4.145737244971682,low gdp trap
Cyprus,1.5260563034950494,50.2,5.97,57.5,10.431199791458543,2.01,79.9,1.42,10.335302435967074,2.1065702090680887,41.37315095605274,-7.299999999999997,3.912044389402417,low gdp trap
Czech Republic,1.4816045409242156,66.0,7.88,62.9,10.250652418696085,-1.43,77.5,1.51,9.893487720457795,1.5644405465033646,47.43094941275961,3.1000000000000014,5.318558213303333,low gdp trap
Denmark,1.62924053973028,50.5,11.4,43.6,10.691967639914864,3.22,79.5,1.87,10.968215530759236,2.2438960966453663,30.802822750444257,6.899999999999999,6.997125177039398,low gdp trap
Dominican Republic,3.5667118201397288,22.7,6.22,33.3,9.314790473332646,5.44,74.6,2.6,8.603554357064281,2.4553061800117097,3.3752312888293825,-10.599999999999998,1.7439031560885472,low gdp trap
Ecuador,3.261935314328648,27.9,8.06,32.4,9.143238568435446,7.47,76.7,2.66,8.446985296372741,2.615934912194404,3.8608555016811548,-4.5,2.4709257613402005,low gdp trap
Egypt,3.40452517175483,21.3,4.66,26.6,9.19634286233233,10.1,70.5,3.19,7.8636512654486515,2.7917784166329223,3.2043782515563,-5.300000000000001,1.3687664989705592,low gdp trap
El Salvador,3.005682604407159,26.9,6.91,46.6,8.895766604056085,2.65,74.1,2.27,8.003363058629947,2.1815467646169897,4.033404348118854,-19.700000000000003,2.2989786046830214,low gdp trap
Equatorial Guinea,4.718498871295094,85.8,4.48,58.9,10.425282789490705,24.9,60.9,5.21,9.746892220313054,3.4375293109095457,2.3924791745220935,26.9,0.9494545028407239,high inflation risk
Eritrea,4.028916756899646,4.79,2.66,23.3,7.259116128097101,11.6,61.7,4.61,6.180016653652572,2.87976009730157,1.2749154610542788,-18.51,0.6602270934103235,low gdp trap
Estonia,1.7047480922384253,75.1,6.03,68.7,10.030164255362632,1.74,76.0,1.72,9.588845298501564,2.0731719286662407,21.3003000569087,6.3999999999999915,3.537179497342794,low gdp trap
Fiji,3.2228678461377385,57.8,4.86,63.9,8.902591637374087,4.23,65.3,2.67,8.202756381655638,2.3456445824544927,3.290180808965339,-6.100000000000001,1.5079737153430568,low gdp trap
Finland,1.3862943611198906,38.7,8.95,37.4,10.591647316585027,0.351,80.0,1.87,10.740756721857226,1.8811430303627406,100.04678410303701,1.3000000000000043,6.456060307978111,low gdp trap
France,1.6486586255873816,26.8,11.9,28.1,10.515993929932415,1.05,81.4,2.03,10.611547975828369,1.9823798288367047,28.58082174140633,-1.3000000000000007,7.217989106604945,low gdp trap
Gabon,4.169761201506855,57.7,3.5,18.9,9.642187721358466,16.6,62.9,4.08,9.076923258535832,3.1271990362962967,2.541516929693604,38.800000000000004,0.8393766047646041,high inflation risk
Gambia,4.398146016553765,23.8,5.69,42.7,7.415175109613295,4.3,65.5,5.71,6.333279628139691,2.3523271848888596,1.2924123831605054,-18.900000000000002,1.293726942803615,low gdp trap
Georgia,2.8622008809294686,35.0,10.1,52.8,8.814479000010714,8.55,72.8,1.92,7.993282328101591,2.6919208191723265,4.2900711854713975,-17.799999999999997,3.5287530191522176,low gdp trap
Germany,1.6486586255873816,42.3,11.6,37.1,10.606609816118151,0.758,80.1,1.39,10.640675541671662,1.9413282395502016,28.53826669313953,5.199999999999996,7.0360229946737265,low gdp trap
Ghana,4.3267781604434035,29.5,5.22,45.9,8.026496938945412,16.6,62.2,4.27,7.1785454837637,3.1271990362962967,1.5733696070199485,-16.4,1.2064404058712037,high inflation risk
Greece,1.589235205116581,22.1,10.3,30.7,10.264687244346277,0.673,80.4,1.48,10.199918739620157,1.9290546034162273,32.32098565738841,-8.599999999999998,6.481104852723438,low gdp trap
Grenada,2.747270914255491,23.8,5.86,49.2,9.32375833901174,0.48,71.3,2.24,8.905308661189288,1.900613874140137,5.222489415132378,-25.400000000000002,2.1330258947498293,low gdp trap
Guatemala,3.594568774642695,25.8,6.85,36.3,8.811503250158239,5.14,71.3,3.38,7.9483852851118995,2.4292177439274116,2.8662707764421946,-10.499999999999996,1.905652786037151,low gdp trap
Guinea,4.700480365792417,30.3,4.93,43.2,7.0825485693553,16.1,58.0,5.34,6.47543271670409,3.105035008444441,0.9558375304582774,-12.900000000000002,1.0488289741358998,high inflation risk
Guinea-Bissau,4.74493212836325,14.9,8.5,35.2,7.237778191923443,2.97,55.6,5.05,6.306275286948016,2.217027204632399,0.8898310630223252,-20.300000000000004,1.791384949257862,low gdp trap
Guyana,3.653252276470785,51.4,5.38,79.1,8.67265729404031,5.73,65.5,2.65,8.019941687677365,2.4798941079644563,2.5748935776905792,-27.699999999999996,1.4726604112862787,low gdp trap
Haiti,5.342334251964811,15.3,6.91,64.7,7.313886831633462,5.45,32.1,3.33,6.4967749901858625,2.4561641809223462,0.3408851750656919,-49.400000000000006,1.2934420936800484,low gdp trap
Hungary,1.9459101490553132,81.8,7.33,76.5,10.012386799492118,2.33,74.5,1.25,9.48044384215367,2.1447610078004784,13.266158910336737,5.299999999999997,3.766874849570273,low gdp trap
Iceland,1.2809338454620642,53.4,9.4,43.3,10.566201298475118,5.47,82.0,2.2,10.643064971973882,2.457877977400081,2614196.71014885,10.100000000000001,7.338396150044103,low gdp trap
India,4.091005660956586,22.6,4.05,27.1,8.39185670010494,8.98,66.2,2.6,7.208600337960199,2.7206373166076814,1.9257199130461045,-4.5,0.9899766306001644,low gdp trap
Indonesia,3.535145354171894,24.3,2.61,22.4,9.039670667922676,15.3,69.9,2.48,8.042699496897637,3.068517943279639,2.9971000774959067,1.9000000000000021,0.7383006180834653,high inflation risk
Iran,3.0106208860477417,24.4,5.6,19.4,9.76428295481558,15.9,74.5,1.76,8.784315349902657,3.096029994869355,4.723428333762113,5.0,1.8600814290342356,high inflation risk
Iraq,3.634951112088381,39.4,8.41,34.1,9.44943600950432,16.6,67.2,4.56,8.412054873292933,3.1271990362962967,3.0151838183730493,5.299999999999997,2.313648723371198,high inflation risk
Ireland,1.6486586255873816,103.0,9.19,86.5,10.729875458480967,-3.22,80.4,2.05,10.793454842740767,1.095273387402595,29.135339567346424,16.5,5.574228562159616,low gdp trap
Israel,1.7227665977411035,35.0,7.63,32.9,10.295563423525277,1.77,81.4,3.03,10.328787967145063,2.0769384114617173,22.98131910197207,2.1000000000000014,4.42892264686608,low gdp trap
Italy,1.6094379124341003,25.2,9.53,27.2,10.49684202174171,0.319,81.7,1.46,10.485731104959568,1.8762537922044964,31.76739254573662,-2.0,5.921321926353101,low gdp trap
Jamaica,2.9496883350525844,31.3,4.81,49.6,8.987321812850125,9.81,74.7,2.17,8.45126704130007,2.7738379416402132,4.417676408203669,-18.3,1.630680754586993,low gdp trap
Japan,1.4350845252893227,15.0,9.49,13.6,10.485731104959568,-1.9,82.8,1.39,10.703266939811954,1.4609379041156565,69.15107969016253,1.4000000000000004,6.6128509037380585,low gdp trap
Jordan,3.095577608523707,48.3,8.04,69.0,9.155989777226102,8.43,75.8,3.66,8.210939733379021,2.6837575085331657,4.094036959228638,-20.700000000000003,2.597253571631275,low gdp trap
Kazakhstan,3.1135153092103742,44.2,4.29,29.9,9.908524844053396,19.5,68.4,2.6,9.112837790614945,3.246880021277798,4.3706994682237275,14.300000000000004,1.377863788660155,high inflation risk
Kenya,4.146304301152812,20.7,4.75,33.6,7.816416983691801,2.09,62.8,4.37,6.875232087276577,2.1162555148025524,1.5629916622646742,-12.900000000000002,1.145598502907599,low gdp trap
Kiribati,4.154184562578117,13.3,11.3,79.9,7.456454555176209,1.52,60.7,3.84,7.307202314764738,2.0451088625993306,1.5044149133601736,-66.60000000000001,2.7201487631996635,low gdp trap
Kuwait,2.468099531471619,66.7,2.63,30.4,11.227919807721856,11.2,78.2,2.21,10.55843949396453,2.8570447537800976,9.064929782799826,36.300000000000004,1.0655972202352173,low gdp trap
Kyrgyz Republic,3.4210000089583352,51.6,6.18,81.7,7.934155233536322,10.0,68.5,3.1,6.78105762593618,2.785628335747585,2.31882824869178,-30.1,1.806489325874558,low gdp trap
Lao,4.380775852772229,35.4,4.47,49.3,8.289288323000317,9.2,63.8,3.15,7.039660349862076,2.7350166493320245,1.6222398952885813,-13.899999999999999,1.020367202118161,low gdp trap
Latvia,2.174751721484161,53.7,6.68,55.1,9.814710982145282,-0.812,73.1,1.36,9.332646496360152,1.686028514595813,9.465629863641091,-1.3999999999999986,3.071614995867771,low gdp trap
Lebanon,2.424802725718295,35.8,7.03,60.2,9.69898173460629,0.238,79.8,1.61,9.089414904047302,1.8637700052043273,7.647219187631264,-24.400000000000006,2.8992049231211237,low gdp trap
Lesotho,4.612145799724517,39.4,11.1,101.0,7.7752758464868625,4.15,46.5,3.3,7.065613363597717,2.337952236831337,0.9809851675029692,-61.6,2.406688878019208,low gdp trap
Liberia,4.5031374604229395,19.1,11.8,92.6,6.55250788703459,5.47,60.8,5.02,5.793013608384144,2.457877977400081,0.817807159830588,-73.5,2.6203952474708005,low gdp trap
Libya,2.8678989020441064,65.6,3.88,42.1,10.295563423525277,14.2,76.1,2.41,9.401043372798053,3.0160249768217535,5.742548279586308,23.499999999999993,1.3529068257024384,low gdp trap
Lithuania,1.9600947840472698,65.3,7.04,67.2,9.957075711706057,2.38,73.2,1.5,9.392745258631441,2.150598735996164,12.687851909653794,-1.9000000000000057,3.5916630447143842,low gdp trap
Luxembourg,1.33500106673234,175.0,7.77,142.0,11.426288563310505,3.62,81.3,1.63,11.561725152903833,2.285438934159075,218.74196684960737,33.0,5.820220068451706,low gdp trap
"Macedonia, FYR",2.4336133554004498,39.8,7.09,58.1,9.34145634983372,2.04,74.0,1.47,8.420902531097951,2.1102132003465894,6.563825905638673,-18.300000000000004,2.9133633673839467,low gdp trap
Madagascar,4.146304301152812,25.0,3.77,43.0,7.237778191923443,8.79,60.8,4.6,6.025865973825314,2.70805020110221,1.1561109696198253,-18.0,0.909243443360347,low gdp trap
Malawi,4.516338972281476,22.8,6.59,34.9,6.93828448401696,12.1,53.1,5.31,6.131226489483141,2.907447358686419,0.7842349048551773,-12.099999999999998,1.4591464547823771,low gdp trap
Malaysia,2.186051276738094,86.9,4.39,71.0,9.957075711706057,7.27,74.5,2.15,9.112837790614945,2.601207105484161,9.430089694423868,15.900000000000006,2.008187111946668,low gdp trap
Maldives,2.653241964607215,77.6,6.33,65.4,9.259225769705994,2.88,77.9,2.23,8.867990898182093,2.2071749081893874,5.911648581157256,12.199999999999989,2.385760546696724,low gdp trap
Mali,4.927253685157205,22.8,4.98,35.1,7.534228326274089,4.37,59.5,6.55,6.5638555265321274,2.3589654264301534,1.039971990921871,-12.3,1.0107050130180404,low gdp trap
Malta,2.0541237336955462,153.0,8.65,154.0,10.250652418696085,3.83,80.3,1.36,9.957075711706057,2.306577114263583,12.65494359150608,-1.0,4.21104135944036,low gdp trap
Mauritania,4.589040804058207,50.7,4.41,61.2,8.108021221376747,18.9,68.2,4.98,7.0909098220799835,3.2232661731694936,1.5951357053119894,-10.5,0.9609851357390684,high inflation risk
Mauritius,2.772588722239781,51.2,6.0,62.2,9.674137279312397,1.13,73.4,1.57,8.987321812850125,1.9933388426264242,5.462375091234793,-11.0,2.1640425613334453,low gdp trap
"Micronesia, Fed. Sts.",3.713572066704308,23.5,14.2,81.0,8.114025442356757,3.8,65.4,3.46,7.95892649305011,2.303584593327129,2.3158691265301092,-57.5,3.8238116145143524,low gdp trap
Moldova,2.9014215940827497,39.2,11.7,78.5,8.271548374755515,11.1,69.7,1.27,7.396948602621014,2.851284369188118,3.5329315763206597,-39.3,4.032506004594902,low gdp trap
Mongolia,3.299533727885655,46.7,5.44,56.7,8.95040315983296,39.2,66.2,2.64,7.8826922062890254,3.81573234510986,3.113700490090049,-10.0,1.6487178033745873,high inflation risk
Montenegro,2.0541237336955462,37.0,9.11,62.7,9.546884034617925,1.6,76.4,1.77,8.807022955925477,2.0554049638515948,10.568461891756552,-25.700000000000003,4.434981131156262,low gdp trap
Morocco,3.5409593240373143,32.2,5.2,43.0,8.77043908654689,0.976,73.5,2.58,7.9483852851118995,1.972134688691327,2.9983751154517586,-10.799999999999997,1.4685285890466226,low gdp trap
Mozambique,4.624972813284271,31.5,5.21,46.2,6.823286122355687,7.64,54.5,5.56,6.040254711277414,2.6282852326333477,0.7479868120417255,-14.700000000000003,1.1264931082481957,low gdp trap
Myanmar,4.180522258463153,0.109,1.97,0.0659,8.221747728346623,7.04,66.8,2.41,6.8966943316227125,2.583997552432231,1.766635502293235,0.0431,0.4712329891347626,low gdp trap
Namibia,4.04305126783455,47.8,6.78,60.7,9.0432226489245,3.56,58.6,3.6,8.55468163582723,2.2793164660546914,2.242356213258167,-12.900000000000006,1.6769512803213484,low gdp trap
Nepal,3.871201010907891,9.58,5.25,36.4,7.596392304064196,15.1,68.3,2.61,6.385194398997726,3.0591764461105257,1.708618139152383,-26.82,1.356168275738476,high inflation risk
Netherlands,1.7047480922384253,72.0,11.9,63.6,10.725489582719506,0.848,80.7,1.79,10.825780236605917,1.9541617252530783,25.378940444720214,8.399999999999999,6.980503485635033,low gdp trap
New Zealand,1.9740810260220096,30.3,10.1,28.0,10.382853468483827,3.73,80.9,2.17,10.425282789490705,2.2965670206684825,14.779797426476993,2.3000000000000007,5.116304683983823,low gdp trap
Niger,4.820281565605037,22.2,5.16,49.1,6.703188113240863,2.55,58.8,7.49,5.855071922202427,2.1701959049483,0.743391695722735,-26.900000000000002,1.070476886001642,low gdp trap
Nigeria,4.875197323201151,25.3,5.07,17.4,8.546946149565585,104.0,60.5,5.84,7.754052639035757,4.702387636703451,1.5122486148596919,7.900000000000002,1.039957906087571,high inflation risk
Norway,1.4350845252893227,39.7,9.48,28.5,11.03973275601109,5.95,81.0,1.95,11.382828169079987,2.498151876538021,73.8858155586245,11.200000000000003,6.605882673070263,low gdp trap
Oman,2.5416019934645457,65.7,2.77,41.2,10.721084386282662,15.6,76.1,2.9,9.867912187022208,3.0823685802135374,7.732398285981094,24.5,1.0898637973698302,high inflation risk
Pakistan,4.533674184283021,13.5,2.2,19.4,8.361941906144946,10.9,65.3,3.85,6.947937068614969,2.839663087904102,1.5812406745367034,-5.899999999999999,0.48525763223717844,low gdp trap
Panama,3.0301337002713233,70.0,8.1,78.2,9.642187721358466,2.59,77.8,2.62,8.997270906233448,2.174751721484161,4.849462179840633,-8.200000000000003,2.6731493726744504,low gdp trap
Paraguay,3.2228678461377385,55.1,5.87,51.5,8.89439598980643,6.1,74.1,2.73,8.080546965824498,2.510411940196362,3.6081701932363885,3.6000000000000014,1.8213591993958318,low gdp trap
Peru,3.0587070727153796,27.8,5.08,23.8,9.206432747145165,5.71,77.9,2.54,8.521384396034705,2.4782176616372036,4.411203681857576,4.0,1.6608324626163726,low gdp trap
Philippines,3.493472657771326,34.8,3.61,36.6,8.630700432209832,4.22,69.0,3.16,7.664346632098617,2.344686269012681,2.766346244521572,-1.8000000000000043,1.0333557332900418,low gdp trap
Poland,1.9459101490553132,40.1,7.46,42.1,9.989711119284745,1.66,76.3,1.41,9.441531454869693,2.063058062429312,13.418110245849567,-2.0,3.8336816340783404,low gdp trap
Portugal,1.589235205116581,29.9,11.0,37.4,10.211009016314167,0.643,79.8,1.39,10.021315031649332,1.9246865126036865,31.647477118097086,-7.5,6.921568289316292,low gdp trap
Qatar,2.302585092994046,62.3,1.81,23.8,11.736077016252437,6.98,79.5,2.07,11.160541302448653,2.579458966729223,11.406386033825914,38.5,0.7860730122448858,low gdp trap
Romania,2.5257286443082556,32.6,5.58,38.8,9.787009914477434,3.53,73.7,1.59,9.015662792972645,2.2762411176544437,6.6492532154019,-6.199999999999996,2.2092634585170354,low gdp trap
Russia,2.3978952727983707,29.2,5.08,21.1,10.047631185616188,14.2,69.2,1.57,9.278092474027002,3.0160249768217535,7.42159700347427,8.099999999999998,2.1185245484351714,low gdp trap
Rwanda,4.168214410788556,12.0,10.5,30.0,7.208600337960199,2.61,64.6,4.51,6.335054251498059,2.1770218700187,1.3161797900336465,-18.0,2.519064271939307,low gdp trap
Samoa,2.990719731730447,29.2,6.47,53.1,8.594339400592892,1.72,71.5,4.34,8.146419323098003,2.0706530356467567,3.8679369774477452,-23.900000000000002,2.1633588501642786,low gdp trap
Saudi Arabia,2.8154087194227095,49.6,4.29,33.0,10.723289410218579,17.2,75.1,2.96,9.867912187022208,3.1531632815028194,6.301549943311815,16.6,1.5237574460874905,high inflation risk
Senegal,4.216562194946349,24.9,5.66,40.3,7.687538766201629,1.85,64.0,5.06,6.90875477931522,2.086913556518537,1.5324156863187512,-15.399999999999999,1.3423257474498171,low gdp trap
Serbia,2.151762203259462,32.9,10.4,47.9,9.44943600950432,5.88,74.7,1.4,8.596189197642735,2.492378664626701,8.980950278172243,-15.0,4.833247830195276,low gdp trap
Seychelles,2.7343675094195836,93.8,3.4,108.0,9.923339198238729,-4.21,73.4,2.17,9.287394001418473,0.6931471805599453,5.873971962124761,-14.200000000000003,1.2434319777013838,low gdp trap
Sierra Leone,5.081404364984463,16.8,13.1,34.5,7.107425474110705,17.2,55.0,5.2,5.991464547107982,3.1531632815028194,0.717215584154944,-17.7,2.5780274623037314,high inflation risk
Singapore,1.33500106673234,200.0,3.96,174.0,11.185823192802378,-0.046,82.7,1.15,10.74937727911096,1.8187259174578694,207.44437645518795,26.0,2.9662897646163136,low gdp trap
Slovak Republic,2.0794415416798357,76.3,8.79,77.8,10.134638955251866,0.485,75.5,1.43,9.717218213494077,1.9013609791431358,11.461803007468541,-1.5,4.227096469804663,low gdp trap
Slovenia,1.4350845252893227,64.3,9.41,62.9,10.264687244346277,-0.987,79.5,1.57,10.060534035475412,1.6530719494541617,63.57289957678525,1.3999999999999986,6.557105058395694,low gdp trap
Solomon Islands,3.370738174177447,49.3,8.55,81.2,7.484930283289661,6.81,61.7,4.24,7.1631723908466425,2.5664866367804233,2.0713581158098973,-31.900000000000006,2.5365363781440653,low gdp trap
South Africa,4.001863709427935,28.6,8.94,27.4,9.392745258631441,6.35,54.3,2.59,8.893023494394711,2.5305171610400525,2.330310521263196,1.2000000000000028,2.233959137323537,low gdp trap
South Korea,1.62924053973028,49.4,6.93,46.2,10.322230781590136,3.16,80.1,1.23,10.003378135350923,2.237513096250331,28.291043728134316,3.1999999999999957,4.253515568147634,low gdp trap
Spain,1.5686159179138452,25.5,9.54,26.8,10.389026137075234,0.16,81.9,1.37,10.332050506334692,1.851599469584072,35.690038747937635,-1.3000000000000007,6.081794715361275,low gdp trap
Sri Lanka,2.501435951739211,19.6,2.94,26.8,9.054972284742485,22.8,74.4,2.2,7.941295570906532,3.367640598133313,5.785235183811805,-7.199999999999999,1.17532491605706,high inflation risk
St. Vincent and the Grenadines,3.077312260546414,26.9,4.47,57.1,9.202409001649903,4.44,71.6,2.07,8.737292112544221,2.365559892155434,4.16269709049023,-30.200000000000003,1.452566272623337,low gdp trap
Sudan,4.3528552573736015,19.7,6.32,17.2,8.12296471523406,19.6,66.3,4.88,7.300472814267799,3.2507620137305224,1.7172525819447546,2.5,1.4519205501478867,high inflation risk
Suriname,3.2228678461377385,52.5,7.01,38.4,9.561067663645012,7.2,70.3,2.52,9.024131268455035,2.596000697293587,4.036092136076931,14.100000000000001,2.175081428920746,low gdp trap
Sweden,1.3862943611198906,46.2,9.63,40.7,10.666650414667744,0.991,81.5,1.98,10.860939421415225,1.9742199052667297,102.48795065095334,5.5,6.94657662188036,low gdp trap
Switzerland,1.7047480922384253,64.0,11.5,53.3,10.92415631759022,0.317,82.2,1.52,11.219909190927746,1.8759474196530803,26.637783569570907,10.700000000000003,6.745864713008645,low gdp trap
